tabled_Salgsform,tabled_Forrige pris,id,price,title,place,tabled_Antall dører,tabled_CO2 utslipp,tabled_Interiørfarge,tabled_Hjuldrift,tabled_Pris eks omreg,tabled_Avgiftsklasse,tabled_Antall eiere,tabled_Hjuldriftnavn,tabled_Str. lasterom,tabled_Drivstoff,tabled_Antall seter,tabled_Km.stand,tabled_Årsmodell,tabled_Sylindervolum,tabled_Farge,tabled_Effekt,tabled_Karosseri,tabled_Innskudd,tabled_Omregistrering,tabled_Vekt,tabled_Bilen står i,tabled_Årsavgift,tabled_1. gang registrert,tabled_Girkasse,tabled_Reg.nr.,tabled_Fargebeskrivelse
,,91222786,121569,Mercedes-Benz E-Klasse,9180 Skjervøy,,,,,"120 000,-",,,,,,,,,,,,,,"1 569,-",,,Ikke inklusiv,,,,
,,98664939,51046,Toyota HiLux,0668 Oslo,,,,,"50 000,-",,,,,,,,,,,,,,"1 046,-",,,Ikke inklusiv,,,,
,,98661575,75000,Ford S-MAX,5251 Søreidgrend,,,,,"71 340,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,98662886,366064,Volkswagen Tiguan,0751 Oslo,,,,,"360 000,-",,,,,,,,,,,,,,"6 064,-",,,Ikke inklusiv,,,,
,,93903301,586064,Mercedes-Benz CLS,4029 Stavanger,,,,,"580 000,-",,,,,,,,,,,,,,"6 064,-",,,Inklusiv,,,,
,,98663508,135000,Volkswagen Beetle,1364 Fornebu,,,,,"132 386,-",,,,,,,,,,,,,,"2 614,-",,,Inklusiv,,,,
,,98662718,54000,Mercedes-Benz A-Klasse,1470 Lørenskog,,,,,,,,,,,,,,,,,,,Fritatt,,,Inklusiv,,,,
,,98537081,44569,Ford Mondeo,0187 Oslo,,,,,"43 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98658933,88660,Audi A4,1482 Nittedal,,,,,"85 000,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,98661856,16569,Volkswagen Golf,1725 Sarpsborg,,,,,"15 000,-",,,,,,,,,,,,,,"1 569,-",,,Ikke inklusiv,,,,
,,98663413,113660,Volvo V70,5116 Ulset,,,,,"110 000,-",,,,,,,,,,,,,,"3 660,-",,,Ikke inklusiv,,,,
,,98661775,16569,Hyundai Getz,3525 Hallingby,,,,,"15 000,-",,,,,,,,,,,,,,"1 569,-",,,Ikke inklusiv,,,,
,,98660337,619000,Chevrolet Silverado,4306 Sandnes,,,,,,,,,,,,,,,,,,,Fritatt,,,Inklusiv,,,,
,,98662626,13569,Volkswagen Passat,2860 Hov,,,,,"12 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98663997,139900,Mitsubishi ASX,7047 Trondheim,,,,,"136 240,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,68756493,261660,Mitsubishi Outlander,2860 Hov,,,,,"258 000,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,98662000,60046,Mitsubishi Pajero,3870 Fyresdal,,,,,"59 000,-",,,,,,,,,,,,,,"1 046,-",,,Ikke inklusiv,,,,
,,94815345,54614,Ford Fiesta,1400 Ski,,,,,"52 000,-",,,,,,,,,,,,,,"2 614,-",,,Inklusiv,,,,
,,92794448,125990,Peugeot 5008,2016 Frogner,,,,,"122 330,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,79562921,147563,Nissan Juke,0476 Oslo,,,,,"145 000,-",,,,,,,,,,,,,,"2 563,-",,,Ikke inklusiv,,,,
Bruktbil til salgs,,98529703,9069,Toyota Yaris,1152 Oslo,3,137 g/km,,Forhjulsdrift,,Personbil,3,,,Bensin,5,158 875 km,2001,1 l,Rød,68 Hk,Kombi 3-dørs,,,850 kg,Norge,,26.02.2001,Manuell,BP58448,
,,94723310,299000,Chevrolet Impala,1789 Berg,,,,,,,,,,,,,,,,,,,Fritatt,,,Inklusiv,,,,
,,98661074,15569,Skoda Octavia,7224 Melhus,,,,,"14 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98662114,37000,Ford,1366 Lysaker,,,,,,,,,,,,,,,,,,,Fritatt,,,Ikke inklusiv,,,,
,,98659052,539000,Volvo V60 Cross Country,2825 Gjøvik,,,,,"532 936,-",,,,,,,,,,,,,,"6 064,-",,,Inklusiv,,,,
,,93467550,205064,Mercedes-Benz B-Klasse,1481 Hagan,,,,,"199 000,-",,,,,,,,,,,,,,"6 064,-",,,Ikke inklusiv,,,,
,,98661808,36569,Toyota Corolla,1831 Askim,,,,,"35 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,95893438,60000,Fiat 500,5911 Alversund,,,,,"57 386,-",,,,,,,,,,,,,,"2 614,-",,,Inklusiv,,,,
,,98662016,16569,Volvo 850,3174 Revetal,,,,,"15 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98660041,39900,Nissan Micra,5308 Kleppestø,,,,,"37 286,-",,,,,,,,,,,,,,"2 614,-",,,Inklusiv,,,,
,,98339259,168660,Volkswagen Passat,4900 Tvedestrand,,,,,"165 000,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,98661096,79660,Toyota Avensis,5214 Lysekloster,,,,,"76 000,-",,,,,,,,,,,,,,"3 660,-",,,Ikke inklusiv,,,,
,,96620104,90000,Ford Transit Connect,3772 Kragerø,,,,,"88 745,-",,,,,,,,,,,,,,"1 255,-",,,Inklusiv,,,,
,,98660000,47614,Hyundai Getz,5174 Mathopen,,,,,"45 000,-",,,,,,,,,,,,,,"2 614,-",,,Inklusiv,,,,
,,98661770,16568,Volkswagen Golf,0665 Oslo,,,,,"14 999,-",,,,,,,,,,,,,,"1 569,-",,,Ikke inklusiv,,,,
,,97360037,169000,Volvo V60,2080 Eidsvoll,,,,,"165 340,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,93884509,148660,Skoda Octavia,1407 Vinterbro,,,,,"145 000,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,98385485,16046,Peugeot Expert,4640 Søgne,,,,,"15 000,-",,,,,,,,,,,,,,"1 046,-",,,Ikke inklusiv,,,,
Bruktbil til salgs,,98661971,6569,Nissan Micra,7072 Heimdal,5,149 g/km,,Forhjulsdrift,,Personbil,5,,,Bensin,5,185 000 km,2001,1 l,Blå,60 Hk,Kombi 5-dørs,,,845 kg,Norge,,01.06.2001,Manuell,VF41833,
,,98659689,119569,Mercedes-Benz E-Klasse,1251 Oslo,,,,,"118 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98661345,366569,Chevrolet Corvette,2160 Vormsund,,,,,"365 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
Bruktbil til salgs,,98660184,9569,Rover 75,6392 Vikebukt,4,,,Forhjulsdrift,,Personbil,4,,,Bensin,5,249 600 km,2000,2 l,Grønn,150 Hk,Sedan,,,1 440 kg,Norge,,16.11.1999,Automat,DJ76094,Pearl
,,98661055,155660,Honda CR-V,6100 Volda,,,,,"152 000,-",,,,,,,,,,,,,,"3 660,-",,,Ikke inklusiv,,,,
,,92610605,120900,BMW 1-serie,0686 Oslo,,,,,"117 240,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,91515507,31569,Volvo S80,4021 Stavanger,,,,,"30 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98413420,125000,Nissan Qashqai,4156 Mosterøy,,,,,"121 340,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,98661600,33759,Opel Astra,3920 Porsgrunn,,,,,"30 099,-",,,,,,,,,,,,,,"3 660,-",,,Ikke inklusiv,,,,
,,94208098,30000,Opel Vectra,9311 Brøstadbotn,,,,,"28 431,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
